question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
14,2022,NEET PG,Medicine,Cardiology,A 25-year-old patient is undergoing tooth extraction for dental caries. Which of the following,does not require prophylaxis against infective endocarditis?,[PAGE 9],Atrial septal defect,Unrepaired cyanotic heart disease,Prosthetic heart valves,2,Medicine,Cardiology,['Cardiology'],,,,[],neetfmgeplans,,,,,,,,
15,2022,NEET PG,Medicine,Health Care Delivery,A patient presents to the emergency department with a history of ingestion of ten tablets of,"paracetamol. He has developed oliguria and liver function tests show deranged values. Which
of the following can be used in the management of this condition?",N-acetylcysteine,Dopamine,Ursodeoxycholic acid,Furosemide,1,Medicine,Health Care Delivery,['Health Care Delivery'],,,,[],,,,,,,,,
16,2022,NEET PG,Medicine,Cardiology,A patient presents to you with an irregularly irregular pulse of 120/minutes and a pulse deficit,of 20. Which of the following would be the jugular venous pressure (JVP) finding?,Absent p wave,Absent a wave,Cannon a wave,Raised JVP with normal waveform,2,Medicine,Cardiology,['Cardiology'],,,,[],neetfmgeplans,,,,,,,,
17,2022,NEET PG,Medicine,Gastroenterology,"A patient with a history of chronic liver disease presents with abdominal distension, jaundice,","and pruritis. Ascitic fluid analysis revealed a neutrophil count >650 per cubic mm. What is the
most likely diagnosis?",Spontaneous bacterial peritonitis,Malignant ascites,Tubercular ascites,Intestinal obstruction,1,Medicine,Gastroenterology,['Gastroenterology'],,,,[],,,,,,,,,
18,2022,NEET PG,Medicine,Gastroenterology,Laboratory investigations of a patient being evaluated for jaundice show elevated bilirubin and,"alkaline phosphatase levels. Levels of the remaining liver enzymes are normal. What is the
likely diagnosis?",Obstructive jaundice,Hemolytic jaundice,Hepatic jaundice,Prehepatic jaundice,1,Medicine,Gastroenterology,['Gastroenterology'],,,,[],,,,,,,,,
19,2022,NEET PG,Medicine,Cardiology,An 11-year-old child with a history of streptococcal pharyngitis presents you with fever and,"arthralgia. There is no past history of rheumatic heart disease or features of carditis or valvular
disease. How often is 6,00,000 IU of benzathine penicillin recommended for prophylaxis of
rheumatic heart disease?",Immediately,Thrice weekly lifelong,"Once in three weeks for 5 years or till the age of 18, whichever is longer","Once in three weeks for 10 years or till the age of 25, whichever is longer",3,Medicine,Cardiology,['Cardiology'],,,,[],,,,,,,,,
20,2022,NEET PG,Medicine,Endocrine,MEN 2B features,Which of the following is not seen in MEN 2B syndrome?,Megacolon,Parathyroid adenoma,Mucosal neuroma,Marfanoid habitus,2,Medicine,Endocrine,"['Endocrine', 'Endocrinology', 'Genetics & Molecular Biology']",llm,MEN 2B clinical manifestations,diagnosis,[],collegedunia,,,,,,,,
21,2022,NEET PG,Medicine,Cardiology,A patient with coronary artery disease presents to you with chest pain and palpitations. The,"ECG is shown below. Which of the following can be used in the management?

[PAGE 12]",Oral metoprolol,Oral amiodarone,Intravenous amiodarone,Intravenous metoprolol,3,Medicine,Cardiology,['Cardiology'],,,,[],,,,,,,,,
22,2022,NEET PG,Microbiology,Infectious Diseases,Microfilariae morphology,Microfilariae with sheathed tail and two nuclei at the tail is suggestive of?,Wuchereria bancrofti,Brugia malayi,Loa loa,Onchocerca volvulus,2,Microbiology,Infectious Diseases,"['Infectious Diseases', 'Parasitology', 'Helminthology']",llm,Filarial species identification,diagnosis,[],collegedunia,,,,,,,,
23,2022,NEET PG,OBG,Obstetric Complications,[PAGE 13],"A pregnant lady with 34 weeks of amenorrhea has the following findings: LDH- 700 IU/L,
platelets – 75,000/mm3, serum bilirubin- 1.5mg/dL, SGOT-200 U/L, SGPT-150U/L, and BP
-140/96 mm Hg. Her coagulation profile and renal function tests are normal. What is the
diagnosis?
LDH- Lactate dehydrogenase
SGOT- Serum glutamic-oxaloacetic transaminase / AST- Asparate transaminase
SGPT- Serum glutamic pyruvic transaminase / ALT- Alanine transaminase",HELLP syndrome,Acute fatty liver of pregnancy,Viral hepatitis,Intrahepatic cholestasis,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
24,2022,NEET PG,OBG,Obstetric Complications,"A woman at 26 weeks of gestation presents for routine evaluation. On examination, fundal","height corresponds to 24 weeks. Ultrasonography revealed decreased amniotic fluid. Which of
the following conditions would have led to this presentation?",Renal agenesis,Tracheoesophageal fistula,Cardiac abnormalities,Ureteral stricture,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
25,2022,NEET PG,OBG,Obstetric Complications,A type 1 diabetic mother is on magnesium sulfate infusion post – cesarean section for,"preeclampsia. She develops delirium and is drowsy. She has a respiratory rate of 10/min,
random blood glucose level of 240 mg / dL, oliguria, and bilaterally absent knee reflex. What is
the cause of her condition?",[PAGE 14],Diabetic ketoacidosis,Eclampsia,Diabetes insipidus,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
26,2022,NEET PG,OBG,Female Genital Anatomy,Hymen types,Identify the type of hymen shown in the image.,Imperforate hymen,Semilunar hymen,Septate hymen,Annular hymen,3,OBG,Female Genital Anatomy,"['Female Genital Anatomy', 'Gynecologic Oncology', 'Reproductive']",llm,Hymen morphology identification,image_identification,[],collegedunia,,,,,,,,
27,2022,NEET PG,OBG,Gynecologic Oncology,"While discharging a patient who underwent a vesicovaginal fistula repair, which of the",following would you recommend?,[PAGE 15],Sexual abstinence for 3 weeks and avoid pregnancy for 6 months,Sexual abstinence for 6 weeks and avoid pregnancy for a year,Sexual abstinence for 6 months and avoid pregnancy for 6 years,1,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],neetfmgeplans,,,,,,,,
28,2022,NEET PG,OBG,Gynecologic Oncology,Which of the following is an absolute contraindication for the insertion of the device shown in,the image below?,Menstruation,Trophoblastic disease,Immediately after delivery,Ruptured condom during intercourse,2,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],neetfmgeplans,,,,,,,,
29,2022,NEET PG,OBG,Gynecologic Oncology,A 20 year old woman is evaluated for primary infertility. Hysterosalpingography was done and,reveals the finding shown below. What is the anomaly seen in the image?,Septate uterus,Uterine didelphys,Bicornuate uterus,Unicornuate uterus,1,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],neetfmgeplans,,,,,,,,
30,2022,NEET PG,OBG,Obstetric Complications,A pregnant woman with no other comorbid conditions develops preeclampsia. She enquires,"about the cause of her condition. The doctor explains that it is due to the failure of the invasion
of:",Spiral artery by villous trophoblasts,Radial artery by cytotrophoblasts,Spiral artery by extravillous trophoblasts,Arcuate artery by extravillous trophoblasts,3,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
31,2022,NEET PG,OBG,Obstetric Complications,A woman with an obstetric score of G2P1 comes to the clinic at 14 weeks of gestation for her,"antenatal checkup. A uterine artery doppler was suggested by the doctor. What would it
detect?",Early onset preeclampsia,Late – onset preeclampsia,Fetal growth restriction,Placenta accreta,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
32,2022,NEET PG,OBG,Obstetric Complications,"While conducting a delivery, you perform the maneuver shown below. Following this, there is","incomplete separation of the placenta and massive hemorrhage. What is your next step in
management?

[PAGE 18]",Start oxytocin infusion and wait for spontaneous delivery of placenta,Uterine massage,Arrange for blood and use Crede’s method for placental delivery,Manual removal of placenta,4,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
33,2022,NEET PG,OBG,Obstetric Complications,A female patient collapses soon after delivery. There is profuse bleeding and features of,disseminated intravascular coagulation. Which of the following is the most likely etiology?,Amniotic fluid embolism,Uterine prolapse,Peripartum cardiomyopathy,Rupture of the uterus,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],neetfmgeplans,,,,,,,,
34,2022,NEET PG,OBG,Obstetric Complications,You are examining a multigravida in the second stage of labor for the past two hours. On,"examination, contractions are adequate, the cervix is dilated with the head at station 0 with
molding 2+ and caput 2+. The sagittal suture is in the right occipitotransverse position. The
fetal heart rate is 140 beats / minute. Which of the following is carried out for the management
of this patient?",Midpelvic forceps,Vacuum -assisted delivery,Wait for an hour for spontaneous labor,Lower segment cesarean section,4,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
35,2022,NEET PG,OBG,Obstetric Complications,A primigravida presents to the labor room at 40 weeks of gestation with lower abdominal pain.,"She has been in labor for 3 hours. Which of the following will determine if she is in active
labor?",Fetal head 5/5 palpable on abdominal examination,Two contractions lasting for 10 seconds in 10 minutes,More than 5 cm cervical dilatation with complete effacement,Rupture of membranes,3,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
36,2022,NEET PG,OBG,Obstetric Complications,Identify the blue – colored area shown in the image below,[PAGE 20],Obstetric outlet,Anatomical outlet,Pelvic inlet,Midpelvis,4,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
37,2022,NEET PG,OBG,Postpartum Physiology,Uterine involution,What will be the level of the uterus on the second – day post delivery?,One finger breadth below umbilicus,Two finger breadths below umbilicus,Three finger breadths below umbilicus,Four finger breadths below umbilicus,1,OBG,Postpartum Physiology,"['Postpartum Physiology', 'Obstetric Complications', 'Gynecologic Oncology']",llm,Uterine fundal height postpartum,anatomy_structure,[],neetfmgeplans,,,,,,,,
38,2022,NEET PG,OBG,Obstetric Complications,A primigravida woman at 12 weeks of gestation comes to the antenatal clinic for nutritional,advice. Which of the following will you recommend?,Additional 300 kcal in 2nd trimester,Additional 300 kcal in 1st trimester,Additional 400 kcal in 3rd trimester,Additional 300 kcal throughout the pregnancy,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],neetfmgeplans,,,,,,,,
39,2022,NEET PG,OBG,Obstetric Complications,A 40 year old G2P1 woman with 18 weeks of amenorrhea comes with a dilated cervix. The,"cervical length is 15 mm. In spite of explaining the risks, she insisted on cerclage. Which of the
following is a contraindication for cervical cerclage?",Ruptured membranes,Prolapse of membranes into the vagina,Fetal fibronectin positive,Advanced maternal age,2,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
40,2022,NEET PG,OBG,Obstetric Complications,A primigravida presents to the emergency room in the early stage of labor with adequate,"uterine contractions. On per vaginal examination, a gynecoid pelvis is felt, the membranes are
ruptured, and the vertex is felt in the right occipito- posterior position. How will you manage
this patient?",Vacuum – assisted delivery,Cesarean section,Normal vaginal delivery,Forceps delivery,3,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
41,2022,NEET PG,OBG,Obstetric Complications,"A pregnant patient, with a history of classical cesarean section in view of fetal growth","retardation in the previous pregnancy, presents to you. She is currently at 35 weeks of
gestation with breech presentation. What is the next step in management?",Cesarean section at 37 weeks,Advice USG and visit after 2 weeks,Internal podalic version followed by vaginal delivery,External cephalic version at 36 weeks,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
42,2022,NEET PG,OBG,Obstetric Complications,A primigravida at 22 weeks of gestation presents to you with profuse vaginal bleeding. Her,"blood pressure and glucose levels are within normal limits. Placental implantation at which of
the following sites can cause this?",Internal OS,Fallopian tube,Ovarian,Abdominal,1,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
43,2022,NEET PG,OBG,Gynecologic Oncology,"A female patient presents to you with six weeks of amenorrhea, associated with abdominal","pain and vaginal bleeding with normal blood pressure. Investigations revealed beta – hCG to
be 1400 mIU/mL. An ultrasound scan was done which showed a trilaminar endometrium with
normal adnexa. What is the next best step in the management of this patient ?",Repeat beta – hCG after 48 hours,Repeat ultrasound after 3 days,Measurement of progesterone,Laparoscopy,1,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],,,,,,,,,
44,2022,NEET PG,OBG,Gynecologic Oncology,"A 24 year old lactating female with an 18 month old child comes with a history of irregular,",heavy bleeding seeking contraceptive advice. Which is the contraceptive of choice?,Progestasert,Copper – T 380A,Mala,Norethisterone enanthate – depot injection,3,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],neetfmgeplans,,,,,,,,
45,2022,NEET PG,OBG,Gynecologic Oncology,A 25 year old male patient is evaluated for primary infertility. Semen analysis shows,"azoospermia. A testicular biopsy is done and the image is shown below. The shown finding is
consistent with

[PAGE 24]",Sertoli cell only syndrome,Testicular atrophy,Benign testicular neoplasm,Orchitis,1,OBG,Gynecologic Oncology,['Gynecologic Oncology'],,,,[],,,,,,,,,
46,2022,NEET PG,OBG,Obstetric Complications,"A 20 year old woman presented at 7 weeks of gestation, unwilling to continue the pregnancy.",What are the drugs used for medical termination of pregnancy in this patient?,Misoprostol and Medroxyprogesterone,Misoprostol and Mifepristone,Mifepristone and Methotrexate,Mifepristone and Medroxyprogesterone,2,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],neetfmgeplans,,,,,,,,
47,2022,NEET PG,OBG,Obstetric Complications,Testosterone helps in the development of various organs in the fetus. Which of the following,"stimulates its production?

[PAGE 25]",LH from maternal pituitary,hCG from placenta,Inhibin from corpus luteum,GnRH from fetal hypothalamus,2,OBG,Obstetric Complications,['Obstetric Complications'],,,,[],,,,,,,,,
48,2022,NEET PG,Ophthalmology,Glaucoma,Pseudoexfoliation syndrome,What is the diagnosis?,Intraocular foreign body,Pseudoexfoliation syndrome,Ocular trauma,Vossius ring,2,Ophthalmology,Glaucoma,"['Glaucoma', 'Squint & Pediatric Ophthalmology']",llm,Pseudoexfoliation syndrome diagnosis,diagnosis,[],collegedunia,,,,,,,,
49,2022,NEET PG,Ophthalmology,Uveitis,[PAGE 26],"A patient presents with a history of penetrating injury to the eye. A diagnosis of sympathetic
ophthalmitis was confirmed. Which of the following will be seen?",Acute anterior uveitis,Pars planitis,Panuveitis,Chronic anterior uveitis,3,Ophthalmology,Uveitis,['Uveitis'],,,,[],,,,,,,,,
50,2022,NEET PG,Ophthalmology,Glaucoma,A diabetic patient presents to you with visual acuity of 6/9 in one eye. Further investigations,"revealed preretinal hemorrhages with neovascularization at the optic disc. What is the next
step in management?",Focal laser photocoagulation,Pan-retinal photocoagulation,Grid laser photocoagulation,Scleral buckling,2,Ophthalmology,Glaucoma,['Glaucoma'],,,,[],,,,,,,,,
51,2022,NEET PG,Ophthalmology,Sclera,A 35-year-old woman is diagnosed with rheumatoid arthritis. What associated complications,"are shown in the image?

[PAGE 27]",Scleromalacia perforans,Ciliary staphyloma,Coloboma,Malignant melanoma,1,Ophthalmology,Sclera,['Sclera'],,,,[],,,,,,,,,
52,2022,NEET PG,Ophthalmology,Cornea & Refractive,Keratoconus procedure,What is the indication of this procedure?,Keratoconus,Vogt’s limbal girdle,Keratoglobus,Corneal dystrophy,1,Ophthalmology,Cornea & Refractive,"['Cornea & Refractive', 'Squint & Pediatric Ophthalmology']",llm,Keratoconus treatment indication,management,[],collegedunia,,,,,,,,
53,2022,NEET PG,Ophthalmology,Retina,A 3-year-old boy presents with mental retardation and an inability to walk. The fundoscopy,image is given below. What is the most likely diagnosis?,Tay-Sachs disease,Hunter disease,Hurler syndrome,Gaucher disease,1,Ophthalmology,Retina,['Retina'],,,,[],neetfmgeplans,,,,,,,,
54,2022,NEET PG,Orthopedics,Fractures,[PAGE 29],What could be the diagnosis of a woman with this appearance on X-ray?,A multiple brown tumor,Fibrous dysplasia,Multiple enchondromas,Multiple exostoses,3,Orthopedics,Fractures,['Fractures'],,,,[],collegedunia,,,,,,,,
55,2022,NEET PG,Orthopedics,Miscellaneous,Which of the following is true about the type of fixation shown in the image?,[PAGE 30],"Fracture tibia, ilizarov fixator","Fracture tibia, spanning fixator","Fracture femur, spanning fixator","Periarticular fracture of knee, spanning fixator",4,Orthopedics,Miscellaneous,['Miscellaneous'],,,,[],,,,,,,,,
56,2022,NEET PG,Orthopedics,Lower Limb,A male patient presented with a bone fracture following a road traffic accident. After 2 days he,"developed dyspnea, petechiae involving the whole body, and a fall in oxygen saturation. What
is the likely diagnosis?",Fat embolism,Air embolism,Venous thromboembolism,Pulmonary hypertension,1,Orthopedics,Lower Limb,['Lower Limb'],,,,[],,,,,,,,,
57,2022,NEET PG,Orthopedics,Metabolic Disorders,An intrauterine scan at the 13th week of pregnancy showed a fetus with multiple long bone,fractures. What is commonly associated with this finding ?,Achondroplasia,Osteogenesis imperfecta,Cretinism,Marfan syndrome,2,Orthopedics,Metabolic Disorders,['Metabolic Disorders'],,,,[],neetfmgeplans,,,,,,,,
58,2022,NEET PG,Orthopedics,Pediatric Orthopedics,"What is the most common complication of this condition, if left untreated ?",[PAGE 32],Malunion and stiffness,Non-union and cubitus varus,Cubitus valgus,Myositis ossificans,3,Orthopedics,Pediatric Orthopedics,['Pediatric Orthopedics'],,,,[],,,,,,,,,
59,2022,NEET PG,Orthopedics,Infectious Diseases,A child with a history of recurrent respiratory infections presented with complaints of pain,"around the knee and a high fever. X – ray shows lytic and sclerotic bone. His peripheral blood
smear is shown in the image below. Aspirate from the joint will most likely show:

[PAGE 33]",Staphylococcus aureus,Escherichia,Salmonella,Streptococcus,3,Orthopedics,Infectious Diseases,['Infectious Diseases'],,,,[],,,,,,,,,
60,2022,NEET PG,Orthopedics,Upper Limb,A boy falls on the left shoulder joint and presents to the emergency department with shoulder,"pain. His left elbow is flexed and is supported by the right hand. Which bone might be most
likely fractured?

[PAGE 34]",1,2,3,4,1,Orthopedics,Upper Limb,['Upper Limb'],,,,[],,,,,,,,,
61,2022,NEET PG,Orthopedics,Lower Limb,"An RTA patient presented to the emergency department with severe pain in the Ankle, an X","ray was performed, given below. What is the best next step of management?",Neurovascular Assessment and Closed reduction and slab application,Neurovascular Assessment and Closed reduction and cast application,Neurovascular Assessments and Immediate surgery,Neurovascular Assessments and Immediate open reduction,1,Orthopedics,Lower Limb,['Lower Limb'],,,,[],neetfmgeplans,,,,,,,,
62,2022,NEET PG,Anatomy,Connective Tissue,Cartilage types,Identify the cartilage given below?,Non-articular hyaline cartilage,Articular hyaline cartilage,Yellow cartilage,White fibrocartilage,4,Anatomy,Connective Tissue,"['Connective Tissue', 'Neuroanatomy', 'Histology']",llm,Cartilage histological identification,image_identification,[],neetfmgeplans,,,,,,,,
63,2022,NEET PG,Pathology,Cellular Aging,Telomerase theory,Choose the correct statement regarding the telomerase theory of aging,Telomere stability is associated with aging,Abnormal telomerase activation is associated with aging,Decreased telomere length is associated with aging,Increased telomere length is associated with aging,3,Pathology,Cellular Aging,"['Cellular Aging', 'Systemic Pathology', 'Biochemistry']",llm,Telomere length and aging,other,[],neetfmgeplans,,,,,,,,
64,2022,NEET PG,Anatomy,Head And Neck,"A patient presents with a unilateral throbbing headache, photophobia, and excessive","lacrimation. He also complains of hemifacial pain on the clenching of teeth. On examination,
pupillary reaction, light reflex, and accommodation reflex are normal. Which of the following
marked nerves is involved in the above scenario?",1,2,3,4,3,Anatomy,Head And Neck,['Head And Neck'],,,,[],,,,,,,,,
65,2022,NEET PG,Anaesthesia,Neuromuscular Blockade,The image given below shows neuromuscular monitoring of the patient after anesthesia. What,is the most commonly used nerve for monitoring?,Ulnar nerve,Median nerve,Radial nerve,Metacarpal nerve,1,Anaesthesia,Neuromuscular Blockade,['Neuromuscular Blockade'],,,,[],neetfmgeplans,,,,,,,,
66,2022,NEET PG,Biochemistry,Mendelian Inheritance,Autosomal recessive disorders,Which of the following disorders follows autosomal recessive inheritance pattern?,Huntington’s disease,Treacher collins syndrome,Cystic fibrosis,Achondroplasia,3,Biochemistry,Mendelian Inheritance,"['Mendelian Inheritance', 'Biochemistry', 'Genetics & Molecular Biology']",llm,Cystic fibrosis inheritance pattern,other,"['Pediatrics', 'Medicine']",collegedunia,,,,,,,,
67,2022,NEET PG,Biochemistry,Lipid Metabolism,Which of the following helps in the transport of fatty acids across the inner mitochondrial,membrane?,Acyl carrier protein,Carnitine,Lecithin-cholesterol acyltransferase,Carnitine and albumin,2,Biochemistry,Lipid Metabolism,['Lipid Metabolism'],,,,[],,,,,,,,,
68,2022,NEET PG,Biochemistry,Genetics & Molecular Biology,A single mutation in a nucleotide base pair resulting in a termination codon is known as,________?,Missense mutation,Nonsense mutation,Stop mutation,Silent mutation,2,Biochemistry,Genetics & Molecular Biology,['Genetics & Molecular Biology'],,,,[],,,,,,,,,
69,2022,NEET PG,Biochemistry,Nucleic Acids,DNA packaging,DNA packing is done by which of the following?,Histone,Glycoprotein,Nucleic acid,Adenine,1,Biochemistry,Nucleic Acids,"['Nucleic Acids', 'Genetics & Molecular Biology']",llm,DNA histone packing,other,[],collegedunia,,,,,,,,
70,2022,NEET PG,Biochemistry,Carbohydrate Metabolism,An adolescent male patient presents to you with exercise intolerance. He gives a history of,"developing cramps on exertion. Which of the following enzyme deficiencies could be the
cause?",Myophosphorylase,Hexokinase,Glucose-6-phosphatase,Hepatic glycogen phosphorylase,1,Biochemistry,Carbohydrate Metabolism,['Carbohydrate Metabolism'],,,,[],,,,,,,,,
71,2022,NEET PG,Biochemistry,Vitamins & Nutrition,Which of the following enzyme activities can be estimated in red blood cells to diagnose,vitamin B2 deficiency?,Transketolase,Glutathione reductase,Kynureninase,Pyruvate dehydrogenase,2,Biochemistry,Vitamins & Nutrition,['Vitamins & Nutrition'],,,,[],neetfmgeplans,,,,,,,,
72,2022,NEET PG,Biochemistry,Vitamins & Nutrition,Vitamin deficiency cause,The following is due to the deficiency of?,Vitamin C,Vitamin A,Vitamin B,Vitamin E,2,Biochemistry,Vitamins & Nutrition,"['Vitamins & Nutrition', 'Vitamins & Nutrition']",llm,Vitamin deficiency identification,diagnosis,[],neetfmgeplans,,,,,,,,
73,2022,NEET PG,Biochemistry,Carbohydrate Metabolism,"A child presents to you with anemia, thrombocytopenia, and bony pain. On examination,","hepatosplenomegaly was noticed. If light microscopy of bone marrow aspirate reveals
“crumpled tissue paper” appearance, what is the enzyme defect?

[PAGE 41]",Glucocerebrosidase,Sphingomyelinase,Hexosaminidase,Glucose6-phosphatase,1,Biochemistry,Carbohydrate Metabolism,['Carbohydrate Metabolism'],,,,[],,,,,,,,,
74,2022,NEET PG,Biochemistry,Oxidative Phosphorylation,The electron transport chain is a series of redox reactions that result in ATP synthesis. Which,of the following is a cytochrome complex IV inhibitor?,Cyanide,Carbon dioxide,Oligomycin,Ouabain,1,Biochemistry,Oxidative Phosphorylation,['Oxidative Phosphorylation'],,,,[],neetfmgeplans,,,,,,,,
75,2022,NEET PG,Dermatology,Infectious Diseases,A farmer presents to you with swelling on foot and multiple discharging sinuses in the lower,"limb. Granules from the discharge were examined under the microscope, shown below. Which
of the following is true regarding this condition?

[PAGE 42]",Both bacteria and fungi can be causative,Undergoes lymphatic spread,There is lymphocyte accumulation,Involves only superficial tissues,1,Dermatology,Infectious Diseases,['Infectious Diseases'],,,,[],,,,,,,,,
76,2022,NEET PG,Dermatology,Infectious Diseases,"A farmer presents you with a cauliflower-shaped mass on foot, which developed after a minor",injury. Microscopy shows copper penny bodies. What is the most likely diagnosis?,Chromoblastomycosis,Blastomycosis,Sporotrichosis,Phaeohyphomycosis,1,Dermatology,Infectious Diseases,['Infectious Diseases'],,,,[],neetfmgeplans,,,,,,,,
